"tab_inv_item.col_quantity","tab_inv_item.col_total","tab_inv.col_total","tab_inv.col_name","tab_inv.dt_invoice","tab_pers.col_bn","tab_pers.col_fn","tab_pers.col_sn","tab_pers.col_hn"
5,6,8,inv-0000000000000000000000000279,2016-11-29,7,"Windell","Minot","Windell Minot"
8,9,39,inv-0000000000000000000000000280,2019-02-18,14,"Rudolph","Falls","Rudolph Falls"
5,28,18,inv-0000000000000000000000000281,2018-11-21,13,"Iverson","Crossnoe","Iverson Crossnoe"
5,3,12,inv-0000000000000000000000000282,2016-01-18,12,"Kavon","Burget","Kavon Burget"
3,30,14,inv-0000000000000000000000000283,2017-08-02,0,"Wilburn","Merriman","Wilburn Merriman"
7,13,16,inv-0000000000000000000000000284,2019-09-20,4,"Kavon","Shearman","Kavon Shearman"
9,12,3,inv-0000000000000000000000000285,2017-01-23,8,"Rylan","Channel","Rylan Channel"
1,12,32,inv-0000000000000000000000000286,2018-08-08,3,"Sawyer","Morehead","Sawyer Morehead"
2,8,38,inv-0000000000000000000000000287,2018-09-03,1,"Carter","Romine","Carter Romine"
7,13,6,inv-0000000000000000000000000288,2018-08-31,0,"Wilburn","Merriman","Wilburn Merriman"
10,13,40,inv-0000000000000000000000000289,2017-04-20,5,"Tanner","Weston","Tanner Weston"
1,25,34,inv-0000000000000000000000000290,2018-01-04,0,"Wilburn","Merriman","Wilburn Merriman"
5,1,36,inv-0000000000000000000000000291,2016-02-25,9,"Tabor","West","Tabor West"
6,22,39,inv-0000000000000000000000000292,2017-10-12,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
2,17,22,inv-0000000000000000000000000293,2019-12-10,13,"Iverson","Crossnoe","Iverson Crossnoe"
10,1,1,inv-0000000000000000000000000294,2016-05-26,7,"Windell","Minot","Windell Minot"
1,28,18,inv-0000000000000000000000000295,2017-05-25,14,"Rudolph","Falls","Rudolph Falls"
5,7,46,inv-0000000000000000000000000296,2017-08-24,8,"Rylan","Channel","Rylan Channel"
3,25,45,inv-0000000000000000000000000297,2016-01-11,8,"Rylan","Channel","Rylan Channel"
7,2,29,inv-0000000000000000000000000298,2018-08-28,11,"Sedona","Strauss","Sedona Strauss"
10,5,20,inv-0000000000000000000000000299,2019-12-13,7,"Windell","Minot","Windell Minot"
4,19,31,inv-0000000000000000000000000300,2018-02-05,11,"Sedona","Strauss","Sedona Strauss"
2,15,17,inv-0000000000000000000000000301,2016-11-30,9,"Tabor","West","Tabor West"
2,10,42,inv-0000000000000000000000000302,2017-06-30,5,"Tanner","Weston","Tanner Weston"
4,4,14,inv-0000000000000000000000000303,2019-12-18,2,"Verlin","Toney","Verlin Toney"
3,17,27,inv-0000000000000000000000000304,2019-02-15,7,"Windell","Minot","Windell Minot"
7,14,20,inv-0000000000000000000000000305,2016-03-16,7,"Windell","Minot","Windell Minot"
3,1,34,inv-0000000000000000000000000306,2017-09-01,4,"Kavon","Shearman","Kavon Shearman"
4,5,6,inv-0000000000000000000000000307,2017-12-08,9,"Tabor","West","Tabor West"
8,8,41,inv-0000000000000000000000000308,2019-12-12,9,"Tabor","West","Tabor West"
4,25,33,inv-0000000000000000000000000309,2018-06-01,0,"Wilburn","Merriman","Wilburn Merriman"
9,3,18,inv-0000000000000000000000000310,2019-07-19,0,"Wilburn","Merriman","Wilburn Merriman"
8,18,13,inv-0000000000000000000000000311,2019-08-23,11,"Sedona","Strauss","Sedona Strauss"
4,30,23,inv-0000000000000000000000000312,2017-10-19,1,"Carter","Romine","Carter Romine"
5,8,35,inv-0000000000000000000000000313,2016-06-28,9,"Tabor","West","Tabor West"
10,17,30,inv-0000000000000000000000000314,2019-07-02,3,"Sawyer","Morehead","Sawyer Morehead"
4,14,9,inv-0000000000000000000000000315,2017-12-19,6,"Morton","Trescott","Morton Trescott"
9,4,11,inv-0000000000000000000000000316,2018-12-10,8,"Rylan","Channel","Rylan Channel"
3,2,10,inv-0000000000000000000000000317,2018-10-08,13,"Iverson","Crossnoe","Iverson Crossnoe"
4,13,19,inv-0000000000000000000000000318,2018-02-02,13,"Iverson","Crossnoe","Iverson Crossnoe"
10,10,6,inv-0000000000000000000000000319,2017-03-30,0,"Wilburn","Merriman","Wilburn Merriman"
3,24,49,inv-0000000000000000000000000320,2019-02-05,4,"Kavon","Shearman","Kavon Shearman"
10,6,12,inv-0000000000000000000000000321,2018-06-28,4,"Kavon","Shearman","Kavon Shearman"
3,30,5,inv-0000000000000000000000000322,2017-01-27,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
4,20,11,inv-0000000000000000000000000323,2019-01-29,2,"Verlin","Toney","Verlin Toney"
3,15,32,inv-0000000000000000000000000324,2018-05-02,0,"Wilburn","Merriman","Wilburn Merriman"
10,25,13,inv-0000000000000000000000000325,2019-01-18,0,"Wilburn","Merriman","Wilburn Merriman"
10,27,50,inv-0000000000000000000000000326,2018-05-02,13,"Iverson","Crossnoe","Iverson Crossnoe"
6,25,34,inv-0000000000000000000000000327,2016-05-09,14,"Rudolph","Falls","Rudolph Falls"
6,30,18,inv-0000000000000000000000000328,2018-04-12,1,"Carter","Romine","Carter Romine"
5,5,21,inv-0000000000000000000000000329,2019-03-22,12,"Kavon","Burget","Kavon Burget"
5,24,1,inv-0000000000000000000000000330,2016-12-29,14,"Rudolph","Falls","Rudolph Falls"
4,22,16,inv-0000000000000000000000000331,2016-05-26,1,"Carter","Romine","Carter Romine"
1,4,39,inv-0000000000000000000000000332,2016-04-28,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
9,20,3,inv-0000000000000000000000000333,2019-09-30,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
5,25,27,inv-0000000000000000000000000334,2018-06-13,3,"Sawyer","Morehead","Sawyer Morehead"
4,2,36,inv-0000000000000000000000000335,2016-05-25,6,"Morton","Trescott","Morton Trescott"
4,1,14,inv-0000000000000000000000000336,2017-05-22,2,"Verlin","Toney","Verlin Toney"
7,29,43,inv-0000000000000000000000000337,2019-04-18,12,"Kavon","Burget","Kavon Burget"
10,26,20,inv-0000000000000000000000000338,2018-03-06,0,"Wilburn","Merriman","Wilburn Merriman"
2,4,50,inv-0000000000000000000000000339,2019-05-07,11,"Sedona","Strauss","Sedona Strauss"
8,2,42,inv-0000000000000000000000000340,2018-01-23,9,"Tabor","West","Tabor West"
4,17,2,inv-0000000000000000000000000341,2016-01-14,12,"Kavon","Burget","Kavon Burget"
9,8,41,inv-0000000000000000000000000342,2018-04-17,1,"Carter","Romine","Carter Romine"
9,13,21,inv-0000000000000000000000000343,2019-10-24,12,"Kavon","Burget","Kavon Burget"
9,12,26,inv-0000000000000000000000000344,2019-09-16,2,"Verlin","Toney","Verlin Toney"
8,19,8,inv-0000000000000000000000000345,2019-01-14,7,"Windell","Minot","Windell Minot"
4,17,1,inv-0000000000000000000000000346,2016-05-23,13,"Iverson","Crossnoe","Iverson Crossnoe"
10,28,26,inv-0000000000000000000000000347,2018-08-31,8,"Rylan","Channel","Rylan Channel"
5,25,12,inv-0000000000000000000000000348,2017-06-26,12,"Kavon","Burget","Kavon Burget"
10,27,8,inv-0000000000000000000000000349,2017-08-08,2,"Verlin","Toney","Verlin Toney"
5,21,10,inv-0000000000000000000000000350,2017-02-02,14,"Rudolph","Falls","Rudolph Falls"
7,22,9,inv-0000000000000000000000000351,2017-06-26,12,"Kavon","Burget","Kavon Burget"
6,11,45,inv-0000000000000000000000000352,2019-07-17,8,"Rylan","Channel","Rylan Channel"
1,24,17,inv-0000000000000000000000000353,2017-10-17,0,"Wilburn","Merriman","Wilburn Merriman"
3,13,47,inv-0000000000000000000000000354,2018-02-15,8,"Rylan","Channel","Rylan Channel"
6,29,26,inv-0000000000000000000000000355,2018-10-22,5,"Tanner","Weston","Tanner Weston"
6,12,46,inv-0000000000000000000000000356,2019-01-29,14,"Rudolph","Falls","Rudolph Falls"
4,5,47,inv-0000000000000000000000000357,2017-05-17,12,"Kavon","Burget","Kavon Burget"
2,1,7,inv-0000000000000000000000000358,2018-10-19,11,"Sedona","Strauss","Sedona Strauss"
1,17,11,inv-0000000000000000000000000359,2018-02-02,13,"Iverson","Crossnoe","Iverson Crossnoe"
3,19,46,inv-0000000000000000000000000360,2019-09-11,2,"Verlin","Toney","Verlin Toney"
6,21,23,inv-0000000000000000000000000361,2018-04-03,3,"Sawyer","Morehead","Sawyer Morehead"
9,22,18,inv-0000000000000000000000000362,2017-11-28,12,"Kavon","Burget","Kavon Burget"
5,6,45,inv-0000000000000000000000000363,2017-09-04,3,"Sawyer","Morehead","Sawyer Morehead"
1,1,30,inv-0000000000000000000000000364,2019-02-05,2,"Verlin","Toney","Verlin Toney"
8,15,48,inv-0000000000000000000000000365,2018-02-20,9,"Tabor","West","Tabor West"
7,18,48,inv-0000000000000000000000000366,2018-07-27,4,"Kavon","Shearman","Kavon Shearman"
1,23,28,inv-0000000000000000000000000367,2018-06-14,3,"Sawyer","Morehead","Sawyer Morehead"
4,6,6,inv-0000000000000000000000000368,2018-09-11,12,"Kavon","Burget","Kavon Burget"
10,23,38,inv-0000000000000000000000000369,2019-02-05,5,"Tanner","Weston","Tanner Weston"
10,28,5,inv-0000000000000000000000000370,2016-04-21,8,"Rylan","Channel","Rylan Channel"
2,22,35,inv-0000000000000000000000000371,2018-09-04,12,"Kavon","Burget","Kavon Burget"
5,4,4,inv-0000000000000000000000000372,2019-12-23,5,"Tanner","Weston","Tanner Weston"
1,16,19,inv-0000000000000000000000000373,2016-09-13,0,"Wilburn","Merriman","Wilburn Merriman"
2,10,21,inv-0000000000000000000000000374,2019-04-02,12,"Kavon","Burget","Kavon Burget"
2,21,14,inv-0000000000000000000000000375,2018-04-27,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
7,11,28,inv-0000000000000000000000000376,2019-01-09,6,"Morton","Trescott","Morton Trescott"
5,17,37,inv-0000000000000000000000000377,2017-08-18,8,"Rylan","Channel","Rylan Channel"
3,4,42,inv-0000000000000000000000000378,2019-02-01,0,"Wilburn","Merriman","Wilburn Merriman"
4,27,7,inv-0000000000000000000000000379,2018-11-08,11,"Sedona","Strauss","Sedona Strauss"
1,26,20,inv-0000000000000000000000000380,2018-12-06,6,"Morton","Trescott","Morton Trescott"
3,8,36,inv-0000000000000000000000000381,2018-12-25,6,"Morton","Trescott","Morton Trescott"
10,23,5,inv-0000000000000000000000000382,2016-10-19,3,"Sawyer","Morehead","Sawyer Morehead"
10,1,34,inv-0000000000000000000000000383,2019-02-07,14,"Rudolph","Falls","Rudolph Falls"
1,3,21,inv-0000000000000000000000000384,2019-01-10,1,"Carter","Romine","Carter Romine"
8,18,29,inv-0000000000000000000000000385,2017-07-12,2,"Verlin","Toney","Verlin Toney"
6,6,42,inv-0000000000000000000000000386,2019-09-20,7,"Windell","Minot","Windell Minot"
4,9,8,inv-0000000000000000000000000387,2018-05-25,7,"Windell","Minot","Windell Minot"
9,7,38,inv-0000000000000000000000000388,2017-02-24,14,"Rudolph","Falls","Rudolph Falls"
5,8,27,inv-0000000000000000000000000389,2018-03-13,0,"Wilburn","Merriman","Wilburn Merriman"
2,11,35,inv-0000000000000000000000000390,2016-05-18,3,"Sawyer","Morehead","Sawyer Morehead"
3,30,6,inv-0000000000000000000000000391,2017-03-06,11,"Sedona","Strauss","Sedona Strauss"
3,4,41,inv-0000000000000000000000000392,2017-11-28,0,"Wilburn","Merriman","Wilburn Merriman"
5,28,13,inv-0000000000000000000000000393,2016-07-07,14,"Rudolph","Falls","Rudolph Falls"
4,9,13,inv-0000000000000000000000000394,2019-10-18,2,"Verlin","Toney","Verlin Toney"
1,6,34,inv-0000000000000000000000000395,2017-01-11,4,"Kavon","Shearman","Kavon Shearman"
4,14,14,inv-0000000000000000000000000396,2017-08-18,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
9,2,44,inv-0000000000000000000000000397,2016-07-11,11,"Sedona","Strauss","Sedona Strauss"
4,12,47,inv-0000000000000000000000000398,2019-03-21,11,"Sedona","Strauss","Sedona Strauss"
4,24,5,inv-0000000000000000000000000399,2016-08-22,5,"Tanner","Weston","Tanner Weston"
7,11,37,inv-0000000000000000000000000400,2018-10-25,2,"Verlin","Toney","Verlin Toney"
3,19,8,inv-0000000000000000000000000401,2018-11-30,6,"Morton","Trescott","Morton Trescott"
10,22,40,inv-0000000000000000000000000402,2018-07-16,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
3,2,48,inv-0000000000000000000000000403,2018-04-20,6,"Morton","Trescott","Morton Trescott"
8,15,23,inv-0000000000000000000000000404,2018-01-02,0,"Wilburn","Merriman","Wilburn Merriman"
5,4,21,inv-0000000000000000000000000405,2017-01-05,12,"Kavon","Burget","Kavon Burget"
5,10,8,inv-0000000000000000000000000406,2016-11-02,1,"Carter","Romine","Carter Romine"
8,3,20,inv-0000000000000000000000000407,2016-11-21,8,"Rylan","Channel","Rylan Channel"
6,27,46,inv-0000000000000000000000000408,2016-06-20,4,"Kavon","Shearman","Kavon Shearman"
10,16,41,inv-0000000000000000000000000409,2019-06-19,14,"Rudolph","Falls","Rudolph Falls"
4,26,11,inv-0000000000000000000000000410,2016-06-15,6,"Morton","Trescott","Morton Trescott"
2,7,38,inv-0000000000000000000000000411,2019-12-16,4,"Kavon","Shearman","Kavon Shearman"
10,30,43,inv-0000000000000000000000000412,2017-04-18,3,"Sawyer","Morehead","Sawyer Morehead"
4,6,41,inv-0000000000000000000000000413,2017-07-27,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
4,2,27,inv-0000000000000000000000000414,2018-05-10,4,"Kavon","Shearman","Kavon Shearman"
5,1,44,inv-0000000000000000000000000415,2016-04-27,0,"Wilburn","Merriman","Wilburn Merriman"
3,27,13,inv-0000000000000000000000000416,2017-05-19,5,"Tanner","Weston","Tanner Weston"
3,23,23,inv-0000000000000000000000000417,2017-01-16,0,"Wilburn","Merriman","Wilburn Merriman"
7,13,6,inv-0000000000000000000000000418,2018-10-02,13,"Iverson","Crossnoe","Iverson Crossnoe"
2,14,17,inv-0000000000000000000000000419,2019-09-12,12,"Kavon","Burget","Kavon Burget"
8,7,27,inv-0000000000000000000000000420,2018-06-19,0,"Wilburn","Merriman","Wilburn Merriman"
8,1,32,inv-0000000000000000000000000421,2018-12-11,14,"Rudolph","Falls","Rudolph Falls"
7,25,8,inv-0000000000000000000000000422,2016-03-01,2,"Verlin","Toney","Verlin Toney"
2,28,46,inv-0000000000000000000000000423,2019-02-08,13,"Iverson","Crossnoe","Iverson Crossnoe"
4,16,48,inv-0000000000000000000000000424,2017-07-10,5,"Tanner","Weston","Tanner Weston"
8,10,16,inv-0000000000000000000000000425,2017-11-08,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
6,19,22,inv-0000000000000000000000000426,2016-03-18,6,"Morton","Trescott","Morton Trescott"
8,20,3,inv-0000000000000000000000000427,2016-06-21,7,"Windell","Minot","Windell Minot"
1,3,19,inv-0000000000000000000000000428,2019-10-22,12,"Kavon","Burget","Kavon Burget"
5,16,44,inv-0000000000000000000000000429,2019-08-13,14,"Rudolph","Falls","Rudolph Falls"
3,27,18,inv-0000000000000000000000000430,2016-09-15,2,"Verlin","Toney","Verlin Toney"
7,20,33,inv-0000000000000000000000000431,2018-06-26,6,"Morton","Trescott","Morton Trescott"
8,13,41,inv-0000000000000000000000000432,2017-11-16,2,"Verlin","Toney","Verlin Toney"
4,22,32,inv-0000000000000000000000000433,2016-04-04,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
6,13,2,inv-0000000000000000000000000434,2017-08-21,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
9,21,32,inv-0000000000000000000000000435,2016-03-09,5,"Tanner","Weston","Tanner Weston"
2,10,16,inv-0000000000000000000000000436,2018-02-02,2,"Verlin","Toney","Verlin Toney"
2,29,18,inv-0000000000000000000000000437,2018-03-08,8,"Rylan","Channel","Rylan Channel"
6,5,16,inv-0000000000000000000000000438,2016-06-29,1,"Carter","Romine","Carter Romine"
3,1,13,inv-0000000000000000000000000439,2019-11-06,3,"Sawyer","Morehead","Sawyer Morehead"
4,24,5,inv-0000000000000000000000000440,2019-04-26,2,"Verlin","Toney","Verlin Toney"
3,6,21,inv-0000000000000000000000000441,2019-12-19,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
8,2,22,inv-0000000000000000000000000442,2019-09-12,9,"Tabor","West","Tabor West"
3,9,9,inv-0000000000000000000000000443,2016-01-19,3,"Sawyer","Morehead","Sawyer Morehead"
6,5,25,inv-0000000000000000000000000444,2016-01-25,11,"Sedona","Strauss","Sedona Strauss"
3,23,16,inv-0000000000000000000000000445,2017-04-28,8,"Rylan","Channel","Rylan Channel"
5,26,34,inv-0000000000000000000000000446,2016-05-27,0,"Wilburn","Merriman","Wilburn Merriman"
5,25,4,inv-0000000000000000000000000447,2017-12-08,13,"Iverson","Crossnoe","Iverson Crossnoe"
4,1,7,inv-0000000000000000000000000448,2016-09-08,12,"Kavon","Burget","Kavon Burget"
7,4,33,inv-0000000000000000000000000449,2018-10-09,9,"Tabor","West","Tabor West"
8,14,11,inv-0000000000000000000000000450,2017-06-29,2,"Verlin","Toney","Verlin Toney"
5,19,16,inv-0000000000000000000000000451,2016-05-19,13,"Iverson","Crossnoe","Iverson Crossnoe"
4,29,28,inv-0000000000000000000000000452,2017-06-06,13,"Iverson","Crossnoe","Iverson Crossnoe"
1,24,21,inv-0000000000000000000000000453,2018-03-28,5,"Tanner","Weston","Tanner Weston"
4,5,19,inv-0000000000000000000000000454,2018-07-30,13,"Iverson","Crossnoe","Iverson Crossnoe"
5,27,33,inv-0000000000000000000000000455,2016-02-16,7,"Windell","Minot","Windell Minot"
6,2,24,inv-0000000000000000000000000456,2019-08-22,6,"Morton","Trescott","Morton Trescott"
4,12,8,inv-0000000000000000000000000457,2018-07-17,1,"Carter","Romine","Carter Romine"
1,19,45,inv-0000000000000000000000000458,2018-05-04,1,"Carter","Romine","Carter Romine"
9,25,47,inv-0000000000000000000000000459,2016-08-22,7,"Windell","Minot","Windell Minot"
2,18,19,inv-0000000000000000000000000460,2018-05-07,3,"Sawyer","Morehead","Sawyer Morehead"
9,25,36,inv-0000000000000000000000000461,2018-12-05,14,"Rudolph","Falls","Rudolph Falls"
2,14,1,inv-0000000000000000000000000462,2017-03-30,6,"Morton","Trescott","Morton Trescott"
9,14,5,inv-0000000000000000000000000463,2017-06-12,6,"Morton","Trescott","Morton Trescott"
2,4,30,inv-0000000000000000000000000464,2019-04-24,11,"Sedona","Strauss","Sedona Strauss"
5,14,16,inv-0000000000000000000000000465,2017-08-08,8,"Rylan","Channel","Rylan Channel"
7,5,50,inv-0000000000000000000000000466,2016-02-19,9,"Tabor","West","Tabor West"
9,13,16,inv-0000000000000000000000000467,2016-09-21,14,"Rudolph","Falls","Rudolph Falls"
1,2,7,inv-0000000000000000000000000468,2016-08-23,1,"Carter","Romine","Carter Romine"
10,3,42,inv-0000000000000000000000000469,2017-03-06,12,"Kavon","Burget","Kavon Burget"
10,5,20,inv-0000000000000000000000000470,2016-10-26,9,"Tabor","West","Tabor West"
5,16,49,inv-0000000000000000000000000471,2018-11-26,3,"Sawyer","Morehead","Sawyer Morehead"
5,26,50,inv-0000000000000000000000000472,2019-12-30,1,"Carter","Romine","Carter Romine"
1,10,2,inv-0000000000000000000000000473,2016-06-10,11,"Sedona","Strauss","Sedona Strauss"
4,4,44,inv-0000000000000000000000000474,2016-09-21,12,"Kavon","Burget","Kavon Burget"
8,8,40,inv-0000000000000000000000000475,2018-03-19,12,"Kavon","Burget","Kavon Burget"
8,6,49,inv-0000000000000000000000000476,2017-12-25,4,"Kavon","Shearman","Kavon Shearman"
7,9,29,inv-0000000000000000000000000477,2017-02-22,12,"Kavon","Burget","Kavon Burget"
10,28,30,inv-0000000000000000000000000478,2018-02-01,3,"Sawyer","Morehead","Sawyer Morehead"
10,15,25,inv-0000000000000000000000000479,2019-12-19,4,"Kavon","Shearman","Kavon Shearman"
10,27,36,inv-0000000000000000000000000480,2017-03-13,2,"Verlin","Toney","Verlin Toney"
4,5,46,inv-0000000000000000000000000481,2018-06-21,12,"Kavon","Burget","Kavon Burget"
2,14,30,inv-0000000000000000000000000482,2019-10-18,1,"Carter","Romine","Carter Romine"
10,28,22,inv-0000000000000000000000000483,2018-06-04,12,"Kavon","Burget","Kavon Burget"
3,18,40,inv-0000000000000000000000000484,2018-11-05,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
8,1,5,inv-0000000000000000000000000485,2019-11-12,7,"Windell","Minot","Windell Minot"
10,24,13,inv-0000000000000000000000000486,2018-11-16,1,"Carter","Romine","Carter Romine"
9,10,25,inv-0000000000000000000000000487,2019-02-25,13,"Iverson","Crossnoe","Iverson Crossnoe"
2,27,14,inv-0000000000000000000000000488,2018-04-11,5,"Tanner","Weston","Tanner Weston"
9,18,38,inv-0000000000000000000000000489,2018-05-08,5,"Tanner","Weston","Tanner Weston"
7,30,49,inv-0000000000000000000000000490,2018-04-12,8,"Rylan","Channel","Rylan Channel"
3,17,26,inv-0000000000000000000000000491,2017-05-11,0,"Wilburn","Merriman","Wilburn Merriman"
4,4,27,inv-0000000000000000000000000492,2018-11-29,13,"Iverson","Crossnoe","Iverson Crossnoe"
2,16,49,inv-0000000000000000000000000493,2018-09-10,4,"Kavon","Shearman","Kavon Shearman"
5,26,44,inv-0000000000000000000000000494,2019-01-23,9,"Tabor","West","Tabor West"
10,1,16,inv-0000000000000000000000000495,2017-03-03,14,"Rudolph","Falls","Rudolph Falls"
3,2,17,inv-0000000000000000000000000496,2017-07-07,5,"Tanner","Weston","Tanner Weston"
3,30,9,inv-0000000000000000000000000497,2016-12-06,13,"Iverson","Crossnoe","Iverson Crossnoe"
2,24,32,inv-0000000000000000000000000498,2018-07-13,11,"Sedona","Strauss","Sedona Strauss"
10,22,23,inv-0000000000000000000000000499,2017-01-17,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
1,3,47,inv-0000000000000000000000000500,2019-02-25,13,"Iverson","Crossnoe","Iverson Crossnoe"
5,18,38,inv-0000000000000000000000000501,2018-10-10,3,"Sawyer","Morehead","Sawyer Morehead"
3,30,47,inv-0000000000000000000000000502,2018-10-17,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
6,13,41,inv-0000000000000000000000000503,2017-07-24,0,"Wilburn","Merriman","Wilburn Merriman"
2,14,21,inv-0000000000000000000000000504,2016-06-17,12,"Kavon","Burget","Kavon Burget"
3,8,18,inv-0000000000000000000000000505,2017-05-30,0,"Wilburn","Merriman","Wilburn Merriman"
8,9,29,inv-0000000000000000000000000506,2017-05-30,2,"Verlin","Toney","Verlin Toney"
1,12,20,inv-0000000000000000000000000507,2017-10-30,1,"Carter","Romine","Carter Romine"
1,24,25,inv-0000000000000000000000000508,2017-01-23,13,"Iverson","Crossnoe","Iverson Crossnoe"
3,8,20,inv-0000000000000000000000000509,2017-02-20,4,"Kavon","Shearman","Kavon Shearman"
8,13,37,inv-0000000000000000000000000510,2017-02-10,0,"Wilburn","Merriman","Wilburn Merriman"
2,28,50,inv-0000000000000000000000000511,2017-08-22,8,"Rylan","Channel","Rylan Channel"
7,4,34,inv-0000000000000000000000000512,2017-04-12,3,"Sawyer","Morehead","Sawyer Morehead"
8,17,32,inv-0000000000000000000000000513,2017-07-03,9,"Tabor","West","Tabor West"
9,1,1,inv-0000000000000000000000000514,2019-05-30,14,"Rudolph","Falls","Rudolph Falls"
6,14,36,inv-0000000000000000000000000515,2017-11-24,4,"Kavon","Shearman","Kavon Shearman"
1,7,34,inv-0000000000000000000000000516,2016-01-22,6,"Morton","Trescott","Morton Trescott"
4,6,32,inv-0000000000000000000000000517,2016-12-21,2,"Verlin","Toney","Verlin Toney"
3,16,43,inv-0000000000000000000000000518,2018-01-02,6,"Morton","Trescott","Morton Trescott"
10,21,23,inv-0000000000000000000000000519,2019-12-10,4,"Kavon","Shearman","Kavon Shearman"
8,19,48,inv-0000000000000000000000000520,2017-03-13,2,"Verlin","Toney","Verlin Toney"
2,10,31,inv-0000000000000000000000000521,2017-11-14,0,"Wilburn","Merriman","Wilburn Merriman"
7,14,18,inv-0000000000000000000000000522,2017-11-08,13,"Iverson","Crossnoe","Iverson Crossnoe"
4,26,17,inv-0000000000000000000000000523,2017-10-20,8,"Rylan","Channel","Rylan Channel"
8,4,1,inv-0000000000000000000000000524,2019-07-15,4,"Kavon","Shearman","Kavon Shearman"
4,2,21,inv-0000000000000000000000000525,2019-09-10,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
5,20,23,inv-0000000000000000000000000526,2019-01-31,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
1,18,37,inv-0000000000000000000000000527,2016-06-22,3,"Sawyer","Morehead","Sawyer Morehead"
5,3,33,inv-0000000000000000000000000528,2018-08-09,11,"Sedona","Strauss","Sedona Strauss"
8,2,17,inv-0000000000000000000000000529,2019-05-23,13,"Iverson","Crossnoe","Iverson Crossnoe"
1,2,34,inv-0000000000000000000000000530,2018-08-06,0,"Wilburn","Merriman","Wilburn Merriman"
2,14,13,inv-0000000000000000000000000531,2017-01-04,8,"Rylan","Channel","Rylan Channel"
4,21,46,inv-0000000000000000000000000532,2016-11-01,2,"Verlin","Toney","Verlin Toney"
3,14,35,inv-0000000000000000000000000533,2016-12-29,12,"Kavon","Burget","Kavon Burget"
8,15,50,inv-0000000000000000000000000534,2018-03-19,6,"Morton","Trescott","Morton Trescott"
8,9,5,inv-0000000000000000000000000535,2017-09-21,7,"Windell","Minot","Windell Minot"
9,7,11,inv-0000000000000000000000000536,2019-05-13,2,"Verlin","Toney","Verlin Toney"
9,22,12,inv-0000000000000000000000000537,2018-06-20,11,"Sedona","Strauss","Sedona Strauss"
7,17,20,inv-0000000000000000000000000538,2018-07-27,8,"Rylan","Channel","Rylan Channel"
3,11,38,inv-0000000000000000000000000539,2018-08-22,6,"Morton","Trescott","Morton Trescott"
2,15,17,inv-0000000000000000000000000540,2018-02-09,1,"Carter","Romine","Carter Romine"
1,12,21,inv-0000000000000000000000000541,2017-09-25,6,"Morton","Trescott","Morton Trescott"
2,26,13,inv-0000000000000000000000000542,2018-11-21,2,"Verlin","Toney","Verlin Toney"
1,15,11,inv-0000000000000000000000000543,2017-10-12,2,"Verlin","Toney","Verlin Toney"
6,29,25,inv-0000000000000000000000000544,2018-08-10,4,"Kavon","Shearman","Kavon Shearman"
9,18,17,inv-0000000000000000000000000545,2017-07-28,7,"Windell","Minot","Windell Minot"
8,5,44,inv-0000000000000000000000000546,2017-09-04,0,"Wilburn","Merriman","Wilburn Merriman"
5,26,16,inv-0000000000000000000000000547,2016-05-10,12,"Kavon","Burget","Kavon Burget"
4,15,6,inv-0000000000000000000000000548,2018-06-18,13,"Iverson","Crossnoe","Iverson Crossnoe"
4,12,36,inv-0000000000000000000000000549,2017-02-23,8,"Rylan","Channel","Rylan Channel"
3,12,37,inv-0000000000000000000000000550,2016-06-29,4,"Kavon","Shearman","Kavon Shearman"
3,8,30,inv-0000000000000000000000000551,2019-01-01,0,"Wilburn","Merriman","Wilburn Merriman"
1,28,19,inv-0000000000000000000000000552,2018-06-19,12,"Kavon","Burget","Kavon Burget"
6,27,50,inv-0000000000000000000000000553,2017-12-29,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
8,11,22,inv-0000000000000000000000000554,2017-12-08,1,"Carter","Romine","Carter Romine"
4,17,9,inv-0000000000000000000000000555,2019-02-25,11,"Sedona","Strauss","Sedona Strauss"
8,22,27,inv-0000000000000000000000000556,2018-05-24,9,"Tabor","West","Tabor West"
4,30,31,inv-0000000000000000000000000557,2017-08-25,12,"Kavon","Burget","Kavon Burget"
10,21,18,inv-0000000000000000000000000558,2019-05-30,3,"Sawyer","Morehead","Sawyer Morehead"
